probe_type,layer,intervention,normal_acc,intervention_acc,drop_absolute,drop_percent
linear,0,reversed,0.21666666666666667,0.20833333333333334,0.008333333333333331,3.846153846153845
linear,0,shuffled,0.21666666666666667,0.19166666666666668,0.024999999999999994,11.538461538461535
linear,3,reversed,0.55,0.5333333333333333,0.01666666666666672,3.0303030303030396
linear,3,shuffled,0.55,0.375,0.17500000000000004,31.818181818181824
linear,6,reversed,0.75,0.7166666666666667,0.033333333333333326,4.444444444444443
linear,6,shuffled,0.75,0.4583333333333333,0.2916666666666667,38.88888888888889
linear,9,reversed,0.8,0.7916666666666666,0.008333333333333415,1.0416666666666767
linear,9,shuffled,0.8,0.5,0.30000000000000004,37.50000000000001
linear,11,reversed,0.6083333333333333,0.6416666666666667,-0.03333333333333344,-5.479452054794538
linear,11,shuffled,0.6083333333333333,0.45,0.15833333333333327,26.027397260273965
mlp,0,reversed,0.21666666666666667,0.19166666666666668,0.024999999999999994,11.538461538461535
mlp,0,shuffled,0.21666666666666667,0.19166666666666668,0.024999999999999994,11.538461538461535
mlp,3,reversed,0.5916666666666667,0.525,0.06666666666666665,11.267605633802814
mlp,3,shuffled,0.5916666666666667,0.44166666666666665,0.15000000000000002,25.352112676056343
mlp,6,reversed,0.7833333333333333,0.7583333333333333,0.025000000000000022,3.1914893617021303
mlp,6,shuffled,0.7833333333333333,0.4166666666666667,0.36666666666666664,46.80851063829787
mlp,9,reversed,0.7333333333333333,0.725,0.008333333333333304,1.1363636363636325
mlp,9,shuffled,0.7333333333333333,0.5,0.23333333333333328,31.818181818181813
mlp,11,reversed,0.5583333333333333,0.5833333333333334,-0.025000000000000022,-4.4776119402985115
mlp,11,shuffled,0.5583333333333333,0.4583333333333333,0.10000000000000003,17.910447761194035
